NU_ANO,NU_IDADE,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_LC,NU_NOTA_MT,SG_UF_PROVA,TP_PRESENCA_D1,TP_PRESENCA_D2,TP_SEXO
2015,28.0,558.4,471.7,547.4,556.5,Pernambuco,1,1,M
2015,25.0,532.1,392.9,511.6,395.1,Goiás,1,1,M
2015,22.0,463.8,475.7,535.6,475.4,Distrito Federal,1,1,F
2015,20.0,552.4,514.7,443.7,422.7,Maranhão,1,1,M
2015,24.0,657.6,556.8,647.7,739.1,Paraná,1,1,F
2015,24.0,,,,,São Paulo,0,0,F
2015,33.0,592.6,501.3,533.2,490.2,São Paulo,1,1,F
2015,21.0,395.0,357.9,490.3,390.1,São Paulo,1,1,F
2015,19.0,512.4,410.8,492.9,457.3,Rio de Janeiro,1,1,F
2015,24.0,599.2,549.4,528.0,524.5,Rio Grande do Sul,1,1,M
2015,25.0,,,330.8,403.2,Sergipe,0,1,M
2015,24.0,590.3,494.4,401.6,400.3,Rio Grande do Sul,1,1,M
2015,26.0,599.3,454.6,570.8,624.3,São Paulo,1,1,M
2015,27.0,,,,,Paraná,0,0,F
2015,25.0,,,,,Rio Grande do Sul,0,0,F
2015,28.0,570.4,549.0,457.7,375.0,Paraná,1,1,M
2015,19.0,587.6,424.6,534.2,426.1,Minas Gerais,1,1,M
2015,30.0,,,,,São Paulo,0,0,F
2015,22.0,572.4,487.2,562.0,377.9,Ceará,1,1,F
2015,38.0,601.9,416.9,583.7,337.4,Paraná,1,1,M
2015,25.0,605.9,548.5,583.5,563.3,Goiás,1,1,F
2015,23.0,,,,,São Paulo,0,0,M
2015,23.0,519.2,487.6,546.0,494.4,São Paulo,1,1,F
2015,19.0,724.7,694.2,663.2,799.5,Rio de Janeiro,1,1,F
2015,26.0,476.6,391.9,492.8,455.5,Mato Grosso do Sul,1,1,M
2015,23.0,613.8,476.0,563.1,503.7,São Paulo,1,1,F
2015,21.0,615.5,551.3,591.3,647.3,Pernambuco,1,1,M
2015,17.0,587.7,381.5,476.0,400.1,Rio de Janeiro,1,1,M
2015,21.0,700.6,685.1,589.1,806.5,Ceará,1,1,M
2015,19.0,648.2,603.4,575.5,658.0,São Paulo,1,1,F
2015,29.0,634.4,469.1,531.2,520.3,Minas Gerais,1,1,F
2015,18.0,679.2,555.3,664.9,481.1,São Paulo,1,1,M
2015,25.0,529.8,432.8,540.5,513.9,São Paulo,1,1,F
2015,24.0,663.4,515.0,598.8,405.2,Pernambuco,1,1,F
2015,20.0,633.1,523.0,630.8,657.6,Paraná,1,1,F
2015,21.0,724.3,596.9,615.3,766.2,Pará,1,1,M
2015,34.0,662.4,688.7,632.4,835.2,Ceará,1,1,M
2015,21.0,658.6,603.7,625.1,709.1,Espírito Santo,1,1,F
2015,16.0,614.1,516.1,514.9,505.9,São Paulo,1,1,F
2015,22.0,585.4,556.9,,,Espírito Santo,1,0,F
2015,27.0,643.0,484.3,594.1,649.9,Paraíba,1,1,M
2015,27.0,,,,,São Paulo,0,0,M
2015,23.0,578.0,493.7,525.7,455.6,Paraná,1,1,F
2015,23.0,,,,,São Paulo,0,0,F
2015,19.0,673.8,638.2,618.8,651.3,São Paulo,1,1,F
2015,50.0,571.7,583.2,497.4,410.1,Rio Grande do Sul,1,1,F
2015,22.0,604.9,610.2,590.9,643.0,Piauí,1,1,F
2015,27.0,,,,,Bahia,0,0,M
2015,21.0,584.1,497.9,,,Minas Gerais,1,0,M
2015,17.0,622.8,531.4,578.8,579.3,São Paulo,1,1,F
2015,32.0,,,,,Pará,0,0,F
2015,27.0,,,,,São Paulo,0,0,M
2015,22.0,,,,,Minas Gerais,0,0,M
2015,21.0,,,,,Rio de Janeiro,0,0,M
2015,27.0,544.2,460.5,493.9,402.4,Goiás,1,1,F
2015,30.0,,,,,Ceará,0,0,F
2015,19.0,610.8,497.8,594.5,559.8,São Paulo,1,1,M
2015,22.0,613.8,461.1,556.4,391.9,Minas Gerais,1,1,F
2015,24.0,570.7,471.0,555.6,569.0,Amazonas,1,1,F
2015,25.0,,,,,São Paulo,0,0,M
2015,23.0,520.1,447.3,491.9,326.0,Paraíba,1,1,F
2015,30.0,,,,,Tocantins,0,0,F
2015,20.0,608.1,523.6,485.0,520.8,Minas Gerais,1,1,M
2015,17.0,691.3,690.6,636.4,795.6,São Paulo,1,1,M
2015,18.0,565.5,490.1,545.0,404.6,Paraná,1,1,M
2015,38.0,,,,,Rio Grande do Sul,0,0,F
2015,36.0,555.8,435.1,590.3,388.3,Minas Gerais,1,1,F
2015,26.0,,,,,Maranhão,0,0,M
2015,22.0,630.6,452.1,569.3,434.9,Paraíba,1,1,M
2015,19.0,642.0,576.7,637.8,636.2,Minas Gerais,1,1,F
2015,19.0,713.4,670.8,650.8,798.7,Pernambuco,1,1,M
2015,21.0,633.7,531.9,592.7,635.1,Minas Gerais,1,1,F
2015,24.0,597.6,489.6,522.9,337.7,Sergipe,1,1,F
2015,17.0,613.7,573.8,454.2,463.3,Santa Catarina,1,1,M
2015,22.0,617.9,527.1,537.8,453.7,Minas Gerais,1,1,M
2015,23.0,585.1,552.7,619.5,543.6,Minas Gerais,1,1,F
2015,27.0,,,,,São Paulo,0,0,M
2015,18.0,641.7,571.7,543.0,418.4,Bahia,1,1,M
2015,21.0,492.9,485.8,493.1,389.8,Rio Grande do Sul,1,1,M
2015,21.0,512.8,393.1,485.4,394.4,Pernambuco,1,1,F
2015,20.0,388.7,391.9,447.9,469.6,Mato Grosso,1,1,F
2015,22.0,,,,,São Paulo,0,0,F
2015,31.0,540.4,365.4,531.3,340.1,Alagoas,1,1,F
2015,18.0,692.1,703.0,663.0,837.4,São Paulo,1,1,M
2015,19.0,,,,,São Paulo,0,0,F
2015,21.0,,,,,Pernambuco,0,0,F
2015,23.0,,,,,Bahia,0,0,F
2015,20.0,643.4,531.4,618.0,421.6,Minas Gerais,1,1,M
2015,20.0,591.6,529.2,553.3,380.7,São Paulo,1,1,F
2015,17.0,662.1,546.6,593.3,543.8,Paraíba,1,1,M
2015,17.0,612.9,525.1,590.1,608.8,Pernambuco,1,1,M
2015,25.0,647.7,568.0,539.1,597.1,Minas Gerais,1,1,M
2015,19.0,610.4,427.6,469.0,387.9,Mato Grosso do Sul,1,1,F
2015,21.0,526.2,416.7,496.7,343.9,Minas Gerais,1,1,M
2015,18.0,,,,,São Paulo,0,0,F
2015,20.0,599.2,405.2,,,Rio de Janeiro,1,0,F
2015,19.0,682.9,652.3,644.5,723.3,Rio Grande do Sul,1,1,M
2015,25.0,636.7,566.6,619.7,531.3,Distrito Federal,1,1,F
2015,28.0,501.4,426.0,520.6,370.8,Minas Gerais,1,1,F
2015,20.0,,,,,Minas Gerais,0,0,F
2015,20.0,555.2,562.9,566.3,432.5,Ceará,1,1,F
2015,22.0,629.5,549.8,593.4,609.7,Pernambuco,1,1,M
2015,26.0,,,,,São Paulo,0,0,M
2015,35.0,,,,,Rio de Janeiro,0,0,M
2015,25.0,642.0,507.2,582.4,399.4,Piauí,1,1,F
2015,29.0,,,,,Mato Grosso,0,0,F
